GeneSymbol,Combined T/B,FDR,Affy T/B,Agilent T/B,Illum T/B,Nimbl T/B,AffyT.1,AffyT.2,AffyT.3,AffyB.1,AffyB.2,AffyB.3,AgilT.1,AgilT.2,AgilT.3,AgilB.1,AgilB.2,IllumT.1,IllumT.2,IllumT.3,IllumB.1,IllumB.2,IllumB.3,NimbT.1,NimbT.2,NimbT.3,NimbB.1,NimbB.2,NimbB.3
Lmo2,0.010,<0.00003,,0.015,0.009,0.004,18.6,24.5,13.0,411.7,408.6,492.6,7.8,9.6,6.2,613.8,411.2,22.8,32.4,45.0,3485.6,3630.7,3543.3,42.4,33.3,20.1,7182.8,7261.5,8200.2
Fgd2,0.010,<0.00003,,0.002,0.013,0.014,21.2,26.1,22.2,266.9,258.2,233.3,3.2,7.5,2.8,1881.7,1823.2,25.3,28.6,30.6,2014.6,1944.5,2327.0,37.1,54.0,33.5,3152.6,2459.0,3059.6
Bcl11a,0.010,0.0006,0.021,0.001,0.008,0.012,12.1,14.1,15.8,683.2,583.2,711.9,2.1,2.2,2.0,2380.0,2395.0,24.0,22.2,23.1,3106.9,2964.4,2817.8,75.9,108.5,83.6,6094.8,6636.1,10544.8
Fcrl1,0.010,<0.00003,0.022,0.002,,0.007,10.5,9.0,15.0,533.8,503.9,510.7,1.9,1.9,1.9,987.7,1112.0,,,,,,,100.7,57.2,87.4,12138.0,10488.7,12413.3
Blk,0.011,0.000633333333333,0.011,0.014,0.014,0.003,8.1,10.2,10.4,878.9,830.9,886.5,6.8,2.2,9.8,533.8,366.0,24.0,30.3,25.3,1877.4,2002.3,1994.5,38.4,30.0,32.9,11088.8,9587.0,8491.3
Chst3,0.011,0.000433333333333,0.017,0.005,0.017,0.003,5.2,6.7,7.3,403.3,342.7,360.5,32.2,36.4,25.2,6715.0,6802.0,23.4,24.7,30.8,1543.2,1501.7,1520.4,43.6,30.2,46.8,13687.5,13242.0,13154.5
Vpreb3,0.011,<0.00003,,0.012,0.012,0.009,9.8,12.2,10.9,157.3,165.3,122.9,48.7,68.4,41.2,4066.0,4952.0,24.1,29.4,29.2,2316.6,2343.6,2042.8,36.4,62.5,37.7,5252.0,6217.3,4397.6
Mef2c,0.012,0.000266666666667,0.017,0.002,0.023,0.007,6.1,9.5,7.7,481.4,458.9,450.2,2.3,3.3,2.2,922.6,1235.8,37.9,37.9,41.5,1623.6,1671.1,1825.9,42.5,27.0,71.5,8501.3,4996.0,8044.0
Unc93b1,0.013,<0.00003,0.014,0.008,,0.017,8.6,12.0,10.2,777.9,736.4,704.6,57.8,90.7,53.2,8612.0,9176.0,,,,,,,154.3,115.6,131.3,9535.2,7049.5,7384.2
Pkig,0.014,<0.00003,,0.004,0.013,0.024,11.7,8.3,11.1,104.7,124.5,130.4,31.7,48.6,35.1,8756.0,9066.0,57.5,66.8,68.1,5035.5,4922.1,5165.7,94.2,96.5,85.2,4185.2,3805.5,3743.6
Cd24a,0.014,<0.00003,0.018,0.005,,0.020,11.4,9.4,12.8,698.0,560.6,568.7,16.6,22.7,21.9,3773.0,5157.0,27.1,16.7,26.8,109.6,92.3,56.0,254.1,138.7,179.0,10083.3,9565.7,9307.2
Ell3,0.014,<0.00003,,0.002,0.028,0.014,7.7,7.0,8.2,38.8,45.4,29.6,2.1,2.6,2.1,1026.4,1303.4,30.0,21.7,27.8,957.3,1071.0,857.3,44.0,34.3,40.6,3651.0,3011.2,1908.3
